DATE_OF_SCORE	PROPERTY_TYPE	CONTENTDATA_PROPERTY_TYPE_ID	APS_RAW_SCORE	PROPERTY_NAME
2024-04-06	BROADCAST	301-21399	18.852443274	Priestly
2024-04-06	BROADCAST	301-12101	18.701008037	The Morning Wolfpack with Matt McAllister
2024-04-06	BROADCAST	301-24019	18.611933067	Jesse Addy
2024-04-06	BROADCAST	301-19354	18.41592627	David Shepard
2024-04-06	BROADCAST	301-13515	18.331100921	Morning MAGIC
2024-04-06	BROADCAST	301-18453	18.302125884	Audacy Public Affairs Show
2024-04-06	BROADCAST	301-12455	18.186845475	Dorothy Tran
2024-04-06	BROADCAST	301-21061	18.164809871	Gary Bryan
2024-04-06	BROADCAST	301-20919	18.105351048	The Ed Lover Experience
2024-04-06	BROADCAST	301-20944	18.089226708	The Wake Up Call
